est_distance,est_velocity,name,steps,steps_per_sec,version,true_distance
386.22695625399547,11.555378059298572,david_ankle,71.0,2.124285671543548,raw,53
295.4736028564372,8.840162842760806,david_ankle,56.0,1.6754929240343475,smooth,53
344.61739250030064,9.43769389292895,david_hand,73.0,1.999178419827468,raw,41
358.6124986033433,9.820963949153589,david_hand,60.0,1.6431603450636725,smooth,41
239.47161361379972,6.818279528893563,david_pocket,105.0,2.9906861488507217,raw,71
231.85203061939578,6.601333369950338,david_pocket,98.0,2.7913070722606736,smooth,71
235.0029672004024,5.182555236528888,edwin_ankle,113.0,2.4921706144413567,raw,82
54.19268555612653,1.1951193197954908,edwin_ankle,46.0,1.0145119315424993,smooth,82
107.7369721739001,3.0164059740151776,edwin_hand,35.0,0.9799255256600499,raw,82
98.77785869516855,2.7655698601553476,edwin_hand,33.0,0.9239297813366184,smooth,82
254.50552038029895,6.296057204569155,edwin_pocket,118.0,2.91956354999134,raw,82
269.4938153013217,6.666843512389524,edwin_pocket,105.0,2.597916718212633,smooth,82
45.81008033070538,1.2279876780781498,ethan_ankle,77.0,2.064398509343414,raw,50
53.062988891565816,1.422409566856073,ethan_ankle,56.0,1.5013807340679373,smooth,50
568.4730873813007,16.277899589992288,ethan_hand,34.0,0.9737377208809462,raw,50
567.106360943451,16.238764165262175,ethan_hand,30.0,0.859180341953776,smooth,50
122.78853062429941,4.060064498373158,ethan_pocket,77.0,2.5464647132746876,raw,66
123.76414809244135,4.0923237804596555,ethan_pocket,73.0,2.414180832065613,smooth,66
